6961,ENTASSET \ ME \ LIGHTING \ DES,Directional Exit Sign
6960,ENTASSET \ ETTM \ DATACOMM \ ESW,Ethernet Switch
6963,ENTASSET \ ME \ HVAC \ FCU,A/C Fan Coil Unit
6965,ENTASSET \ CIVIL \ STRUCTURE \ GANTRY,Gantry Equipment
6964,ENTASSET \ ETTM \ VOICECOM \ FIREPHO,Fire Phone Handset
6967,ENTASSET \ ME \ POWER \ GEN,Generator
6966,ENTASSET \ CIVIL \ STRUCTURE \ GANTRYS,Gantry Stairs
6969,ENTASSET \ ETTM \ CABINET \ IFCAB,Interface Cabinet
6968,ENTASSET \ ME \ PUMPING \ GWP,Groundwater pump 60kW
6723,ENTASSET \ ME,Mechanical and Electrical
7001,ENTASSET \ ETTM \ TOLLING \ TRX,Transceiver
7117,ENTASSET \ CIVIL \ GROUNDWATER,Groundwater
7116,ENTASSET \ CIVIL \ ROADSIDE \ DISPLAN,Displan boxes
7115,ENTASSET \ CIVIL \ STRUCTURE \ TUNN,Tunnel
6951,ENTASSET \ CIVIL \ STRUCTURE \ BRIDGES,Bridges
6729,ENTASSET \ PAVEMENT,Pavement
6728,ENTASSET \ LANDSCAPE,Landscaping and Aesthetics
6952,ENTASSET \ ETTM \ SURVEIL \ CCTV,CCTV
6953,ENTASSET \ ME \ HVAC \ CHILLER,Chiller
6954,ENTASSET \ ETTM \ CONTROL \ COMPUTER,Computer
6956,ENTASSET \ ETTM \ TOLLING \ CONVERTER,Converter
6957,ENTASSET \ ME \ FIRESYS \ DELUGE,Deluge System
6998,ENTASSET \ ME \ AIRQUAL \ TAMS,Tunnel Air Monitoring System
6999,ENTASSET \ ETTM \ CONTROL \ TMCS,TMCS - Hardware
6994,ENTASSET \ ETTM \ TOLLING \ SWITCH,Switchboards
6995,ENTASSET \ ETTM \ CABINET \ SYSCAB,System Cabinet
6996,ENTASSET \ ETTM \ SURVEIL \ TCSSENSOR,Traffic Counting System Sensor
6997,ENTASSET \ ME \ AIRQUAL \ TFMS,Tunnel Flow Monitoring System
6990,ENTASSET \ ETTM \ CONTROL \ SERVER,Server
6991,ENTASSET \ CIVIL \ ROADSIDE \ SIGN,Sign
6992,ENTASSET \ ETTM \ SURVEIL \ SPEEDCA,Speed Camera
6993,ENTASSET \ ETTM \ CABINET \ SURGECAB,Surge Protection Cabinet
6914,ENTASSET \ ME \ AIRQUAL,Air Monitoring Systems
6915,ENTASSET \ LANDSCAPE \ GRAFFITI,Graffiti
6916,ENTASSET \ LANDSCAPE \ HARDSURF,Hard Surfacing
6917,ENTASSET \ ME \ HIGHVOLT,High Voltage systems
6910,ENTASSET \ ETTM \ CABINET,Equipment Cabinets
6911,ENTASSET \ ETTM \ DATACOMM,Data Communication Systems
6912,ENTASSET \ ME \ FIRESYS,Fire Detection & Suppression System
6913,ENTASSET \ LANDSCAPE \ GARDENS,Gardens
6918,ENTASSET \ ME \ HVAC,HVAC Systems
6919,ENTASSET \ ETTM \ INSTRUMENT,Electronic Instruments
7113,ENTASSET \ CIVIL \ ROADSIDE \ GATES,Access and Security Gates
6989,ENTASSET \ ETTM \ CONTROL \ SECURITY,Security System
6988,ENTASSET \ ME \ SECURITY \ SCREAD,Smat Card Reader
6987,ENTASSET \ ME \ AIRQUAL \ SAMS,Stack air velocity & temperature sensor
6986,ENTASSET \ ETTM \ VOICECOM \ RRB,Radio Rebroadcast System
6985,ENTASSET \ CIVIL \ STRUCTURE \ RETAIN,Retaining Walls
6984,ENTASSET \ ETTM \ SURVEIL \ REPEATER,TCS Repeater
6983,ENTASSET \ ETTM \ SURVEIL \ PWRSUPPLY,Power Supply
6982,ENTASSET \ ME \ HVAC \ PUMP,Pump
6981,ENTASSET \ ETTM \ CONTROL \ PMCS,Plant Monitoring & Control Systems
6980,ENTASSET \ CIVIL \ DRAINAGE \ PLDB,Ponds Lakes and Detention Basins
7016,ENTASSET \ ETTM \ CONTROL \ WALLBOARD,Wallboard system
6924,ENTASSET \ ME \ PLANT,Plant Monitoring & Control systems
6927,ENTASSET \ CIVIL \ ROADSIDE,Roadside Furniture
6909,ENTASSET \ CIVIL \ DRAINAGE,Drainage
6908,ENTASSET \ ETTM \ CONTROL,Control & Monitoring
6926,ENTASSET \ ME \ PUMPING,Hydraulic treatment & pumping systems
6921,ENTASSET \ ME \ LOWVOLT,Low Voltage Systems
6920,ENTASSET \ ME \ LIGHTING,Lighting & Switching Systems
6923,ENTASSET \ PAVEMENT \ OTHER,Other
6922,ENTASSET \ PAVEMENT \ MARKING,Road Markings
6932,ENTASSET \ ETTM \ TOLLING,Electronic Tolling Systems
6933,ENTASSET \ ME \ UPS,UPS & Generator Systems
6930,ENTASSET \ CIVIL \ STRUCTURE,Structures
6931,ENTASSET \ ETTM \ SURVEIL,Surveillance & Detection Systems
6936,ENTASSET \ ME \ SECURITY,Security Systems
6934,ENTASSET \ ME \ VENT,Ventilation Systems
6935,ENTASSET \ ETTM \ VOICECOM,Voice Communication Systems
6730,ENTASSET \ CIVIL,Civil
6929,ENTASSET \ ETTM \ SIGNAGE,Electronic Signage Systems
6928,ENTASSET \ PAVEMENT \ ROADWAY,Roadway
7018,ENTASSET \ ETTM \ CONTROL \ WIMCSFEC,Weight In Motion Counting Station Front End Computer
7019,ENTASSET \ ETTM \ VOICECOM \ PA,Public Address System
6925,ENTASSET \ ME \ POWER,Electrical Supply & Distribution
7017,ENTASSET \ ETTM \ CONTROL \ WEBCAM,Webcam
7014,ENTASSET \ ETTM \ CONTROL \ VSSCONT,Video Support System Controller
7015,ENTASSET \ ETTM \ SURVEIL \ VSSMON,Video Support System Monitor
7012,ENTASSET \ ETTM \ SIGNAGE \ VSLS,Variable Speed Limit Sign
7013,ENTASSET \ ETTM \ SURVEIL \ VSS,Video Support System
7010,ENTASSET \ ETTM \ TOLLING \ VRILLUM,VR Illumination Unit (Hi Power)
7011,ENTASSET \ ETTM \ TOLLING \ VRSENSOR,VR Sensor
6958,ENTASSET \ ME \ VENT \ DAMPER,Damper
6959,ENTASSET \ ME \ PUMPING \ DWP,Deluge Control Valve WB CP25
6950,ENTASSET \ ETTM \ CONTROL \ CCCS,Central Computer Control System
7000,ENTASSET \ ETTM \ SIGNAGE \ TIMS,Tunnel Incident Management Sign
7003,ENTASSET \ ME \ HVAC \ TWT,Treated Water Tank
7002,ENTASSET \ ETTM \ CONTROL \ TSMC,Tolling Station Management Controller
7005,ENTASSET \ ME \ POWER \ UPS,Uninterruptible Power Supply
7004,ENTASSET \ ETTM \ CONTROL \ VDCCONT,Vehicle Detection and Classification Controller
7007,ENTASSET \ ETTM \ TOLLING \ VDCSENSOR,VDC Sensor
7006,ENTASSET \ ETTM \ SURVEIL \ VDA,Video Distribution Amplifier
6949,ENTASSET \ CIVIL \ STRUCTURE \ BUILDING,Building
6948,ENTASSET \ ETTM \ CONTROL \ ALC,Automatic Lane Controller
6942,ENTASSET \ ETTM \ SIGNAGE \ ADS,Advisory Sign
6940,ENTASSET \ ETTM \ SURVEIL \ ACCPOINT,Access Point
6945,ENTASSET \ ME \ HVAC \ BOILER,Boiler
7078,ENTASSET \ ME \ VENT \ FAN,Fan
7074,ENTASSET \ ETTM \ SURVEIL \ AID,Automatic Incident Detection
7075,ENTASSET \ ETTM \ SIGNAGE \ ALUS,Advanced Lane Use Sign
7076,ENTASSET \ ETTM \ SURVEIL \ ANALYSER,Analyser
7077,ENTASSET \ ETTM \ TOLLING \ CONSOLE,Console
7072,ENTASSET \ ME \ HVAC \ ACOND,Air Condition Condenser
7073,ENTASSET \ ME \ HVAC \ AHU,Air Handling Unit
6976,ENTASSET \ ME \ AIRQUAL \ OAMS,Outside Ambient Monitoring System
6977,ENTASSET \ ETTM \ CONTROL \ OHD,Over Height Detector
6974,ENTASSET \ ETTM \ TOLLING \ MEDIACO,Media Converter
6975,ENTASSET \ ETTM \ VOICECOM \ METS,Motorist Emergency Telephone System
6972,ENTASSET \ ETTM \ CONTROL \ LUS,Lane Usage Sign
6973,ENTASSET \ ETTM \ CONTROL \ MCON,Management Console
6970,ENTASSET \ ETTM \ DATACOMM \ KVM,KVM Tolling equipment
6971,ENTASSET \ ETTM \ CONTROL \ LCTU,Lane Configuration and Test Unit
6978,ENTASSET \ ETTM \ VOICECOM \ OMR,Operator's Mobile Radio system
6979,ENTASSET \ ETTM \ CABINET \ PDCAB,Power Distribution Cabinet
7100,ENTASSET \ ETTM \ SECURITY,Security System
6731,ENTASSET \ ETTM,Electronic Tolling and Traffic Management
7105,ENTASSET \ ETTM \ TOLLING \ AAS,Internal / External Application Server
7108,ENTASSET \ ME \ EQUIPMENT,Equipment
7118,ENTASSET \ CIVIL \ ROADSIDE \ FENCING,Fencing
7009,ENTASSET \ ETTM \ CONTROL \ VRCONT,Vehicle Recognition Controller
7008,ENTASSET \ ETTM \ SIGNAGE \ VMS,Variable Message Sign
